Date,Price,Open,High,Low,Change %
9-Jul-18,6.6161,6.6429,6.6444,6.6135,-0.41%
6-Jul-18,6.6436,6.638,6.6685,6.638,0.10%
5-Jul-18,6.6371,6.6299,6.6478,6.6299,0.07%
4-Jul-18,6.6325,6.6403,6.6403,6.604,-0.15%
3-Jul-18,6.6425,6.7089,6.7225,6.641,-0.38%
2-Jul-18,6.668,6.6317,6.6681,6.6311,0.71%
29-Jun-18,6.621,6.6305,6.6429,6.6085,-0.09%
28-Jun-18,6.627,6.6181,6.6335,6.609,0.34%
27-Jun-18,6.6047,6.5858,6.62,6.5858,0.39%
26-Jun-18,6.5793,6.5373,6.5818,6.5369,0.60%
25-Jun-18,6.54,6.5039,6.5474,6.5039,0.53%
22-Jun-18,6.5058,6.4947,6.5098,6.4947,0.19%
21-Jun-18,6.4932,6.482,6.5094,6.482,0.30%
20-Jun-18,6.4737,6.4654,6.4812,6.4654,-0.18%
19-Jun-18,6.4852,6.4428,6.4853,6.4428,0.71%
18-Jun-18,6.4394,6.4394,6.4394,6.4394,0.00%
15-Jun-18,6.4394,6.4195,6.4394,6.4131,0.59%
14-Jun-18,6.4017,6.3986,6.4048,6.3929,0.05%
13-Jun-18,6.3983,6.4134,6.414,6.3968,-0.07%
12-Jun-18,6.4028,6.4111,6.4123,6.4023,0.02%
11-Jun-18,6.4017,6.4067,6.4101,6.4013,-0.08%
8-Jun-18,6.4066,6.4005,6.4149,6.4005,0.23%
7-Jun-18,6.3921,6.3899,6.3987,6.3898,0.06%
6-Jun-18,6.3884,6.4072,6.4072,6.3862,-0.28%
5-Jun-18,6.4061,6.4065,6.4145,6.4001,-0.06%
